Guide Name,Guide ID,Guide URL,Author,Views,Subjects,Tags
Campus Sustainability Month 2022: A Library Display of Electronic Resources,1269033,https://libguides.asu.edu/SustainabilityMonth2022,Rachel Leket-Mor,86,Sustainability and Environment,None
CED 501 / CPY 702: Research and Evaluation in Counseling,379614,https://libguides.asu.edu/CED501,Shannon Nickle,79,Psychology,counseling
"Changing the Narrative: Indigenous Education and Children&#039;s Literature, K-12",1260580,https://libguides.asu.edu/k12IndigenousEducation,Vina Begay,183,None,Labriola
"Chaucer (Geoffrey Chaucer,1340?-1400)",1179818,https://libguides.asu.edu/chaucer,Joe Buenker,130,Literature,Father of English literature. Poetry. Literature. The Canterbury Tales.
Chemical Engineering,263772,https://libguides.asu.edu/che,Eric Prosser,264,Engineering and Computer Science,"applied, applied_chemistry, chemical, chemical_engineering, engineering, lasengsubjectlist"
Chemistry &amp; Biochemistry,263743,https://libguides.asu.edu/chemistry,Olivia Sparks,141,"Chemistry, Sciences","biochemistry, biophysical_chemistry, chemical_property, organic, property"
Chicano/a Research Collection (CRC),263955,https://libguides.asu.edu/chicanocollection,Nancy Godoy,96,"Ethnic & International Studies, History, Humanities","archives, chicana, chicano, hispanic, latino, mexican american"
Children&#039;s and Young Adult Literature,264221,https://libguides.asu.edu/ChildrensYoungAdultLiterature,Joe Buenker,629,"Bibliographic Tools and Library Science, Education, Languages and Linguistics","children's books, children's literature, juvenile books, juvenile literature, young adult literature"
Chinese Studies,263732,https://libguides.asu.edu/chinese_studies,Qian Liu,768,"Arts and Humanities, Ethnic & International Studies, Humanities, Interdisciplinary Studies, International Studies and Relations, Languages and Linguistics","asian_studies, china, chinese, chinese_studies"
CHM 338:  Organic Chemistry for Majors II,264216,https://libguides.asu.edu/chm338,Olivia Sparks,50,None,chemistry chm338 named reactions
Citation Management Tools,263985,https://libguides.asu.edu/CitationManagement,Matt Ogborn,"1,851",General,"research, research paper, writing"
Citation Research and Impact Metrics,596032,https://libguides.asu.edu/citation,Anali Perry,467,General,"analytics, assessments, citation research, impact, metrics, research, scholarly communication"
Citation Styles,263988,https://libguides.asu.edu/citing,Sierra Schuman,"15,196","Bibliographic Tools and Library Science, General","APA, Chicago, Citing Sources, MLA, Turabian"
Civil Engineering,263879,https://libguides.asu.edu/civileng,Eric Prosser,79,Engineering and Computer Science,"bridges, buildings, civil, civil_engineering, engineering, lasengsubjectlist, roads, tunnels, underground"
COM 207 - Introduction to Communication Inquiry,264136,https://libguides.asu.edu/COM207,Shannon Nickle,186,Communication,None
COM 308 - Advanced Research Methods in Communication,1511182,https://libguides.asu.edu/COM_308_Course_Guide,Shannon Nickle,42,Communication,course guide
COM 310 - Communication in Interpersonal Relationships,1072747,https://libguides.asu.edu/COM310,Shannon Nickle,54,None,None
Comics and Graphic Novels,613607,https://libguides.asu.edu/comics,Christina Sullivan,723,None,"art, comics, graphic novels, pop culture, visual media"
Communication,263916,https://libguides.asu.edu/communication,Shannon Nickle,93,Communication,None
Computer Science and Engineering ,263809,https://libguides.asu.edu/computerscience,Eric Prosser,187,"Engineering and Computer Science, Sciences","computer, computer_engineering, computer_science, computing, engineering, lasengsubjectlist"
Conferences and Poster Presentations Information,1482218,https://libguides.asu.edu/conferences-posters,Janice Hermer,309,None,None
Constitution Day,264361,https://libguides.asu.edu/constitutionday,Brad Vogus,75,Government Documents,"arizona_state_university, asu, bill_of_rights, constitution, government, political_science"
Construction,263745,https://libguides.asu.edu/construction,Eric Prosser,332,Engineering and Computer Science,"buildings, construction, lasengsubjectlist"
Copyright,264133,https://libguides.asu.edu/copyright,Anali Perry,"1,443",General,"copyright, intellectual_property, scholarly_communication"
Dance Resources,264061,https://libguides.asu.edu/dance,Dan Stanton,215,"Art, Dance, Film and Theater","dance, performing arts"
Daoist (Taoist) Studies,263990,https://libguides.asu.edu/DaoistStudies,Dan Stanton,57,"Ethnic & International Studies, Religious Studies and Philosophy","religious, studies"
Databases for Primary Sources,815985,https://libguides.asu.edu/c.php?g=815985,Seonaid Valiant,35,None,None
"Dr Martin Luther King, Jr in Arizona",1321018,https://libguides.asu.edu/MLKJrinArizona,Shannon Walker,145,None,None
Dr. Harry Edwards,1093172,https://libguides.asu.edu/HarryEdwards,Wes Edens,88,"Education, Politics and Social Justice, Sociology, Sports",None
DSC 500 Research Methods,544410,https://libguides.asu.edu/DSC500,Wes Edens,107,"Design and Architecture, Sustainability and Environment","architecture, design, environmental design"
E-Books: Downloading e-Books for Mobile / Offline Use,264120,https://libguides.asu.edu/ebooks,Joe Buenker,389,General,"downloading, e-books, e-readers, eBooks, institutional electronic books"
Earth Sciences,1326839,https://libguides.asu.edu/Earth,Karalyn Ostler,61,"Earth and Space Sciences, Sciences","earth, earth science, earth sciences, geology, meteorites"
Education,263905,https://libguides.asu.edu/education,Timothy Feller,222,Education,"bilingual_education, early_childhood, elementary_education, eric, mlftc, multicultural_education, secondary_education, special_education"
Electrical Engineering,263883,https://libguides.asu.edu/electricalengineering,Eric Prosser,113,Engineering and Computer Science,"electrical, engineering"
ENG 200:  Critical Reading and Writing About Literature,263965,https://libguides.asu.edu/c.php?g=263965,Joe Buenker,80,Literature,None
ENG 350: Spy Fiction and Film,1287719,https://libguides.asu.edu/eng350,Joe Buenker,92,"Art, Dance, Film and Theater, Literature","Ian Fleming, James Bond"
ENG 501: Approaches to Research: Literature,264274,https://libguides.asu.edu/eng501,Joe Buenker,315,"Humanities, Literature","Humanities research, Literary research, Literature research, Research methodologies"
ENG 598: Holocaust and Genocide in Literature,1444963,https://libguides.asu.edu/holocaust_genocide_lit,Rachel Leket-Mor,95,"English, Ethnic & International Studies, History, Humanities",None
Engineering (Basic),263959,https://libguides.asu.edu/engineering,Eric Prosser,630,Engineering and Computer Science,"engineering, technology"
Engineering: The Literature Review Process ,264337,https://libguides.asu.edu/engineeringlitreview,Eric Prosser,833,Engineering and Computer Science,"engineering, review, survey"
English Studies,263932,https://libguides.asu.edu/english,Joe Buenker,260,"Humanities, Literature","American literature, Applied linguistics, English education, English literature, Film and Media Studies, Linguistics, Medieval studies, TESOL, Writing Rhetorics and Literacies"
Entrepreneurship,997107,https://libguides.asu.edu/Entrepreneurship,Eric Prosser,256,None,None
Environmental Engineering,263962,https://libguides.asu.edu/environmentaleng,Eric Prosser,207,"Engineering and Computer Science, Life Sciences, Sciences","civil, civil_engineering, engineering, environment, environmental_engineering, hydrology, lasengsubjectlist, pollution, sanitary_engineering, technology, waste, wastewater, water"
Environmental Resource Management,263822,https://libguides.asu.edu/EnviroTech,Eric Prosser,73,"Engineering and Computer Science, Sciences, Sustainability and Environment","environment, pico, pollution, technology"
Equipment,1306120,https://libguides.asu.edu/equipment,Michael Eger,571,General,"Calculator, Charger, Equipment, Headphones, Laptop, Phone, TI-83 Plus, TI-84, USB, USB-C"
Esri Software Access for ASU,950964,https://libguides.asu.edu/esrisoftware,Matthew Toro,"3,605",None,"arizona state university, asu, esri, gis, map and geospatial hub"
Evidence Synthesis in the Social Sciences,1398119,https://libguides.asu.edu/evidence_synthesis,Shannon Nickle,362,Social Sciences,"evidence synthesis, meta analysis, research, systematic review"
Faculty Research Support,264308,https://libguides.asu.edu/faculty,Rachel Leket-Mor,0,"General, Humanities, Sciences, Social Sciences","citation, classroom support, dissertation, faculty, publishing, research, thesis, writing"
Fashion,1061515,https://libguides.asu.edu/fashion,Steph Noell,995,Arts and Humanities,"business, design, fashion"
Fashion History,1428855,https://libguides.asu.edu/fashionhistory,Steph Noell,172,None,None
Federal Government Information,264131,https://libguides.asu.edu/federal,Brad Vogus,108,Government Documents,"federal, government, political_science, united states"
Film,562643,https://libguides.asu.edu/film,Dan Stanton,163,"Art, Dance, Film and Theater, Humanities","cinema, film, movies"
Finding ASU History,263952,https://libguides.asu.edu/univarchives,Shannon Walker,569,"Design and Architecture, Education, History, Humanities","archives, arizona_state_university, buildings"
First Year Composition Instructor&#039;s Guide,1046957,https://libguides.asu.edu/FYCompGuide,Joe Buenker,52,None,None
First-Generation Resource Guide,1092279,https://libguides.asu.edu/first-gen_resources,Allinston Saulsberry,183,None,"""library resources, books, first generation, first-gen, first-generation, resources, services, transfer student"
First-Year Composition,1042882,https://libguides.asu.edu/fyc,Sierra Schuman,"2,075",None,"ENG 101, ENG 102, ENG 105, ENG 107, ENG 108, first-year"
Forensics,264374,https://libguides.asu.edu/forensics,Mimmo Bonanni,84,None,"criminalistics, cyber forensics, digital forensics, DNA analysis, forensic anthropology, forensic biology, forensic chemistry, forensic toxicology"
FSH 300: Global Fashion Industry,1465604,https://libguides.asu.edu/fsh300,Steph Noell,48,"Arts and Humanities, Humanities",fashion
FURI (Fulton Undergraduate Research Initiative),577399,https://libguides.asu.edu/furi,Eric Prosser,355,Engineering and Computer Science,None
Generative Artificial Intelligence (AI),1311696,https://libguides.asu.edu/generativeai,Mary Ann Naumann,"8,509",None,None
Genre / Form Searches of the ASU Library Catalog,1195204,https://libguides.asu.edu/genre-form,Joe Buenker,130,None,None
Geographical Sciences,263829,https://libguides.asu.edu/geography,Mimmo Bonanni,181,None,"cartography, climate, climatology, environmental science, geographical, geography, geospatial, gis, maps, meteorology, remote sensing, urban planning"
Getting Published,264021,https://libguides.asu.edu/gettingpublished,Anali Perry,213,General,"faculty, open_access, publications, research, scholarly_communication"
Global Studies,263853,https://libguides.asu.edu/GlobalStudies,Brad Vogus,96,Social Sciences,global_studies
Graduate Students Guide,264349,https://libguides.asu.edu/grad,Matt Ogborn,91,"General, Humanities, Sciences, Social Sciences","citation, classroom support, dissertation, graduate students, publishing, ra, research, research assistant, ta, teaching assistant, thesis, training, workshops, writing"
Graduate Writing Camp,512394,https://libguides.asu.edu/graduatewritingcamp,Joe Buenker,201,"Art, Dance, Film and Theater, Business and Economics, Communication, Design and Architecture, Education, Engineering and Computer Science, Ethnic & International Studies, Health Sciences, History, Humanities, Life Sciences, Literature, Music, Nursing, Psychology, Religious Studies and Philosophy, Sciences, Social Sciences, Sustainability and Environment","camp, disertation, graduate, writing"
Greater Arizona Collection,264025,https://libguides.asu.edu/arizonacollection,Renee James,129,"Ethnic & International Studies, History, Humanities",None
HathiTrust Digital Library,264453,https://libguides.asu.edu/hathitrust,Rachel Leket-Mor,146,"General, Humanities, Sciences, Social Sciences",None
HCI 540,264421,https://libguides.asu.edu/MHI540,Kevin Pardon,37,None,None
Health Care Administration and Policy,264367,https://libguides.asu.edu/HealthcareAdminPolicy,Kevin Pardon,100,Health Sciences,None
Health Sciences at ASU,1472573,https://libguides.asu.edu/health,Kevin Pardon,228,None,None
HEB 348: Israeli Society and Culture,538644,https://libguides.asu.edu/HEB348,Rachel Leket-Mor,104,"Art, Dance, Film and Theater, Ethnic & International Studies, History",None
History,263733,https://libguides.asu.edu/history,Cami Garland,670,"History, Humanities",None
Holidays and Cultural Observances,1236450,https://libguides.asu.edu/holidays,Dan Stanton,518,None,None
Holocaust Studies,264012,https://libguides.asu.edu/holocaust,Rachel Leket-Mor,137,"Ethnic & International Studies, History, Humanities","holocaust, jewish_studies"
How to find Online Resources regarding Codices and Colonial Latin American Documents.,818287,https://libguides.asu.edu/ColonialLatinAmerica-Codices-Docs,Seonaid Valiant,46,"American Indian Studies, Anthropology and Archeology, Art, Dance, Film and Theater, History, Languages and Linguistics, Literature, Religious Studies and Philosophy, Social Sciences",None
HRC 480: Capstone: Practices and Approaches,1164805,https://libguides.asu.edu/HRC480,Joe Buenker,45,"Arts and Humanities, History, Humanities",None
HST 210: *American Social History,1294943,https://libguides.asu.edu/HST210,Cami Garland,45,History,None
HST 304/JST 304: Jews and Christians in the Middle Ages,413056,https://libguides.asu.edu/HST/JST304,Rachel Leket-Mor,70,"History, Religious Studies and Philosophy",None
HST 318: History of Engineering (Poly campus),809416,https://libguides.asu.edu/hst318poly,Cami Garland,55,None,None
HST 327:  Women in US History 1600-1880 (Poly campus online),952122,https://libguides.asu.edu/HST327,Cami Garland,105,None,None
HST 328:  Women in US History 1880-1980 (Poly campus online),992959,https://libguides.asu.edu/HST328,Cami Garland,245,None,None
HST 394: Holocaust and Film,264272,https://libguides.asu.edu/HST394,Rachel Leket-Mor,84,"Art, Dance, Film and Theater, Ethnic & International Studies, History","film, holocaust"
HST 494 Conquest &amp; Encounters in Colonial Latin America - Sarreal,264217,https://libguides.asu.edu/HST494-Sarreal,Seonaid Valiant,23,History,"colonial latin america, colonial latin american history, latin america"
HST 495 - Latin America and the Cold War - Sarreal,560826,https://libguides.asu.edu/HST495latinamericaandthecoldwar,Seonaid Valiant,69,"History, Politics and Social Justice","Cold War, LatinAmerica, Politcs, SouthAmerica"
HST 495: Migration and the Making of Postwar Europe,264414,https://libguides.asu.edu/HST495,Rachel Leket-Mor,63,"Ethnic & International Studies, History",None
HST 591 Oral History and Peace,264113,https://libguides.asu.edu/HST591,Cami Garland,18,None,None
HST 591: History of Economics &amp; Business,882749,https://libguides.asu.edu/Econhistory,Wes Edens,105,None,"business, economics"
HUL 494/598: Why is the Amazon Burning? Visions of the Amazon: Imaginaries and Realities: Arizona Resources,1070648,https://libguides.asu.edu/c.php?g=1070648,Renee James,29,None,None
Humanities @ ASU Library,1216945,https://libguides.asu.edu/humanities,Joe Buenker,194,"Humanities, Languages and Linguistics, Literature, Religious Studies and Philosophy",None
Humanities Book Award (Humanities Institute at Arizona State University),579488,https://libguides.asu.edu/ihr-book-award,Joe Buenker,86,"History, Humanities, Interdisciplinary Studies, International Studies and Relations","Book awards, Humanities Institute"
"I Am a Line of Words: Drawing Identity Across Cultures Din&eacute;, Pima, and Italian Visual Languages",1476281,https://libguides.asu.edu/line_of_words,Mimmo Bonanni,66,None,"akimel o'odham artists, bicultural identity, contemporary art, contemporary indigenous art, cross-cultural art, cultural identity, dine artists, drawings, Indigenous artists, indigenous culture, italian culture, italian renaissance, italian-american studies, Mirra Keeto, mixed media, native american art, navajo art, paintings, renaissance art, visual culture"
IAS 300 - Career Strategies and Personal Resilience,263973,https://libguides.asu.edu/ias300,Brad Vogus,182,General,None
IEE 594: Industrial Engineering Graduate Seminar ,264298,https://libguides.asu.edu/IEE594,Eric Prosser,148,Engineering and Computer Science,engineering industrial
Indigenous Leadership Academy - AIPI,1195971,https://libguides.asu.edu/IndigenousLeadership,Alexander Soto,159,"American Indian Studies, Arizona and Southwestern Studies, Education, History, Politics and Social Justice, Social Sciences","AIPI, employment law, Indigenous Peoples, Labriola, Leadership Academy, Policy"
Industrial Engineering,263753,https://libguides.asu.edu/ie,Eric Prosser,75,Engineering and Computer Science,"design, engineering, industrial, industrial design, operations, systems"
Interdisciplinary Studies,466765,https://libguides.asu.edu/idslibguide,Joyce Martin,111,"Business and Economics, Multidisciplinary",BIS
Interlibrary Loan,714144,https://libguides.asu.edu/interlibraryloan,Mary Plummer,794,None,None
International Studies (Polytechnic campus),741127,https://libguides.asu.edu/intlstudies,Olivia Sparks,64,"Ethnic & International Studies, Politics and Social Justice","international politics, international relations"
Islamic Studies,1404087,https://libguides.asu.edu/IslamicStudies,Dan Stanton,83,"Ethnic & International Studies, Religious Studies and Philosophy","religion_religious, studies_islamic"
Japanese Studies,263798,https://libguides.asu.edu/JapaneseStudies,Qian Liu,142,"Arts and Humanities, Ethnic & International Studies, Humanities, Interdisciplinary Studies, International Studies and Relations, Languages and Linguistics","asian_studies, japan, japanese, japanese_studies"
Jewish Studies,263728,https://libguides.asu.edu/jewish_studies,Rachel Leket-Mor,140,"Ethnic & International Studies, Humanities, Religious Studies and Philosophy","jewish_studies, judaica, religious_studies"
JUS 301 / 501: Research Methods in Justice Studies,264281,https://libguides.asu.edu/JUS301,Mimmo Bonanni,41,Politics and Social Justice,"criminal justice, criminology, JUS301, JUS501, justice studies, literature review, research methods"
"JUS 430 Social Protest, Conflict, and Change",1508579,https://libguides.asu.edu/JUS430,Joyce Martin,101,None,None
Justice and Social Inquiry,263840,https://libguides.asu.edu/justice,Mimmo Bonanni,77,Politics and Social Justice,"criminal justice, criminology, incarceration, inequality, justice, justice studies, policing, restorative justice, social inquiry, social justice"
K-12 Teaching Resources,263869,https://libguides.asu.edu/teachingresources,Timothy Feller,254,Education,"children's_literature, classroom_management, classroom_resources, education_standards, elementary, secondary, special_education, teaching"
Kelmscott Press and Victorian Medievalism,1140093,https://libguides.asu.edu/kelmscott-exhibit,Debra Riley-Huff,194,"Art, Dance, Film and Theater, Design and Architecture, Humanities, Literature","exhibit, kelmscott, william morris"
Latin American Jewish Culture,264461,https://libguides.asu.edu/Latin_American_Jewish_Culture,Rachel Leket-Mor,39,"Ethnic & International Studies, Humanities, Social Sciences",None
Library Digital Credentials,1388492,https://libguides.asu.edu/digitalcredentials,Jessica Jenner,0,None,None
